Practice name,Practice Code,Practice Population,Lat,Lon,NHSE OC Provider,Manual OC Provider,Most likely OC Provider
THE OLD COLE HOUSE PRACTICE,M84627,3750,52.4772254859646,-1.47502900351932,Accurx; Rapid Health,Rapid Health,Rapid Health
ST WULFSTAN SURGERY,M84629,12028,52.2483831836841,-1.39857797525119,Accurx,Accurx,Accurx
SHAH ZAMAN SURGERY,M85001,4815,52.5168317538403,-1.79447177440591,Accurx,Accurx,Accurx
THE PARK MEDICAL CENTRE,M85005,7247,52.466480254201,-1.84908028986839,Accurx,,Accurx
GREEN RIDGE SURGERY,M85006,10623,52.4273318664049,-1.8714827498418,Accurx,Accurx,Accurx
WEST HEATH SURGERY,M85007,17257,52.4017970164341,-1.96202010685204,Accurx,,Accurx
HAMSTEAD ROAD SURGERY,M85009,6393,52.5055564714259,-1.91964868891433,Accurx,,Accurx
THE SWAN MEDICAL CENTRE,M85011,7120,52.4624451609981,-1.81808269628293,Accurx,Accurx,Accurx
CHURCH LANE - KHAN,M85013,4424,52.4872175218824,-1.7936818864329,Accurx; Silicon Health FootFall,Silicon Health FootFall,Silicon Health FootFall
KINGSBURY ROAD MEDICAL CENTRE,M85014,4545,52.515580764059,-1.83720156642656,Accurx; Silicon Health FootFall,Accurx,Accurx
HILLCREST SURGERY,M85016,5162,52.5442705834443,-1.864370715068,Rapid Health,,Rapid Health
YARDLEY WOOD HEALTH CENTRE,M85018,10778,52.419016560355,-1.85978663527855,Accurx,Accurx,Accurx
TOWER HILL PARTNERSHIP,M85019,18283,52.5304355262289,-1.91124663901092,Accurx,,Accurx
RAYDOCS NEWTOWN,M85020,20758,52.5001060894633,-1.90329633579798,Accurx,Patchs,Patchs
MOSELEY MEDICAL CENTRE,M85021,4375,52.4465138854922,-1.89035936296121,Accurx,Patchs,Patchs
MILLENNIUM MEDICAL CENTRE,M85023,9078,52.4381529023457,-1.96862187866963,Accurx; Rapid Health,,Unknown
THE LIMES MEDICAL CENTRE,M85024,7052,52.4666647955887,-1.85967045579235,Accurx,Accurx,Accurx
BATH ROW MEDICAL PRACTICE,M85025,16800,52.4726233271381,-1.9084695429524,Accurx,,Accurx
ASHFIELD SURGERY,M85026,14814,52.5398640864114,-1.79984919039189,Rapid Health,Patchs,Patchs
LEACH HEATH MEDICAL CENTRE,M85027,7810,52.3924345188035,-2.01387184364956,Accurx,Accurx,Accurx
LORDSWOOD HOUSE GROUP MEDICAL PRACTICE,M85028,24955,52.4590523074643,-1.96121680462767,Accurx,Patchs,Patchs
COLLEGE GREEN MEDICAL PRACTICE,M85029,20113,52.4294878054343,-1.95222261787326,SystmConnect,SystmConnect,SystmConnect
ST HELIERS MEDICAL PRACTICE,M85030,17596,52.4123189220325,-1.97546305061997,Accurx,Accurx,Accurx
THE HARLEQUIN SURGERY,M85031,10447,52.4952897411884,-1.77799258023234,Accurx; Silicon Health FootFall,,Unknown
THE MANOR PRACTICE,M85033,17586,52.5581602443555,-1.8236172379301,Blinx,Patchs,Patchs
OMNIA PRACTICE,M85034,16260,52.4757087982876,-1.83908152008914,Silicon Health FootFall,Silicon Health FootFall,Silicon Health FootFall
WOODGATE VALLEY HEALTH CENTRE,M85035,5484,52.4426651974444,-1.9914276407202,Accurx,Accurx,Accurx
KINGSFIELD MEDICAL CENTRE,M85037,9354,52.4267652162283,-1.89301127440847,Accurx,Accurx,Accurx
BOURNBROOK VARSITY MEDICAL CENTRE,M85041,14433,52.4462452920246,-1.93022139513296,Accurx,Accurx,Accurx
SELLY PARK SURGERY,M85042,5024,52.4439185520898,-1.91575882643452,Accurx,Accurx,Accurx
HAWKESLEY MEDICAL PRACTICE,M85043,4349,52.3954396516068,-1.93749800035247,Accurx,Accurx,Accurx
SUTTON COLDFIELD GROUP PRACTICE,M85046,53542,52.578079467721,-1.80495842021516,Rapid Health,Patchs,Patchs
WOODLAND ROAD SURGERY,M85047,6036,52.4105171081372,-1.96116001426981,Accurx,Accurx,Accurx
CHURCH ROAD SURGERY,M85048,11109,52.4585142008573,-1.78115372783502,Accurx; Silicon Health FootFall,,Unknown
FIRSTCARE PRACTICE,M85051,7870,52.4574244492478,-1.88684450269064,Accurx,,Accurx
THE ST.CLEMENTS SURGERY,M85053,6698,52.4980863595156,-1.86791496427571,Accurx,Accurx,Accurx
SELLY OAK HEALTH CENTRE,M85055,6789,52.4385293948554,-1.9382757920165,Accurx; eConsult,eConsult,eConsult
WEOLEY PARK SURGERY,M85056,7124,52.4381553699353,-1.95500851787671,Accurx; Rapid Health,,Unknown
HARBORNE MEDICAL PRACTICE,M85058,15394,52.4591085230957,-1.94626120813572,Blinx,Blinx,Blinx
THE OAKS MEDICAL CENTRE,M85060,16056,52.5513246718464,-1.89848170602468,Anima,Patchs,Patchs
YARDLEY GREEN MEDICAL CENTRE,M85061,12427,52.4758401619416,-1.83869957587545,Blinx,Patchs,Patchs
SHENLEY GREEN SURGERY,M85062,4897,52.4265767620662,-1.97367575872604,Accurx,Accurx,Accurx
MIDLANDS MEDICAL PARTNERSHIP,M85063,55725,52.5206272169284,-1.8117414072867,Blinx,Patchs,Patchs
POPLARS SURGERY,M85065,14290,52.5295131922411,-1.83234040500926,,Silicon Health FootFall,Silicon Health FootFall
WARD END MEDICAL CENTRE,M85066,7244,52.4931585169122,-1.82648397682111,Accurx,Accurx,Accurx
RESERVOIR ROAD SURGERY,M85070,13686,52.523879566302,-1.85733226169042,Accurx,Accurx,Accurx
WYCHALL LANE SURGERY,M85071,7767,52.4099665842909,-1.93556645560853,Accurx,Accurx,Accurx
